ACS_Table_Variable,ACS_Table_Definition,ACS_Table_Variable_Definitnion
B25064_001E,MEDIAN GROSS RENT (DOLLARS),Universe: Renter-occupied housing units paying cash rent
B19013_001E,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),INCOME
B25003_001E,Estimate Total,TENURE
B25003_002E,Estimate Total Owner occupied,TENURE
B25003_003E,Estimate Total Renter occupied,TENURE
B25003A_001E,Estimate Total,TENURE (WHITE ALONE HOUSEHOLDER)
B25003A_002E,Estimate Total Owner occupied,TENURE (WHITE ALONE HOUSEHOLDER)
B25003A_003E,Estimate Total Renter occupied,TENURE (WHITE ALONE HOUSEHOLDER)
B25003B_001E,Estimate Total,TENURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER)
B25003B_002E,Estimate Total Owner occupied,TENURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER)
B25003B_003E,Estimate Total Renter occupied,TENURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER)
B25003C_001E,Estimate Total,TENURE (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER)
B25003C_002E,Estimate Total Owner occupied,TENURE (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER)
B25003C_003E,Estimate Total Renter occupied,TENURE (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER)
B25003D_001E,Estimate Total,TENURE (ASIAN ALONE HOUSEHOLDER)
B25003D_002E,Estimate Total Owner occupied,TENURE (ASIAN ALONE HOUSEHOLDER)
B25003D_003E,Estimate Total Renter occupied,TENURE (ASIAN ALONE HOUSEHOLDER)
B25003E_001E,Estimate Total,TENURE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER)
B25003E_002E,Estimate Total Owner occupied,TENURE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER)
B25003E_003E,Estimate Total Renter occupied,TENURE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER)
B25003F_001E,Estimate Total,TENURE (SOME OTHER RACE ALONE HOUSEHOLDER)
B25003F_002E,Estimate Total Owner occupied,TENURE (SOME OTHER RACE ALONE HOUSEHOLDER)
B25003F_003E,Estimate Total Renter occupied,TENURE (SOME OTHER RACE ALONE HOUSEHOLDER)
B25003G_001E,Estimate Total,TENURE (TWO OR MORE RACES HOUSEHOLDER)
B25003G_002E,Estimate Total Owner occupied,TENURE (TWO OR MORE RACES HOUSEHOLDER)
B25003G_003E,Estimate Total Renter occupied,TENURE (TWO OR MORE RACES HOUSEHOLDER)
B25003H_001E,Estimate Total,"TENURE (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)"
B25003H_002E,Estimate Total Owner occupied,"TENURE (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)"
B25003H_003E,Estimate Total Renter occupied,"TENURE (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)"
B25003I_001E,Estimate Total,TENURE (HISPANIC OR LATINO HOUSEHOLDER)
B25003I_002E,Estimate Total Owner occupied,TENURE (HISPANIC OR LATINO HOUSEHOLDER)
B25003I_003E,Estimate Total Renter occupied,TENURE (HISPANIC OR LATINO HOUSEHOLDER)
