"","state","county","tract","B25064_001E","B19013_001E","B25003_001E","B25003_002E","B25003_003E","B25003A_001E","B25003A_002E","B25003A_003E","B25003B_001E","B25003B_002E","B25003B_003E","B25003C_001E","B25003C_002E","B25003C_003E","B25003D_001E","B25003D_002E","B25003D_003E","B25003E_001E","B25003E_002E","B25003E_003E","B25003F_001E","B25003F_002E","B25003F_003E","B25003G_001E","B25003G_002E","B25003G_003E","B25003H_001E","B25003H_002E","B25003H_003E","B25003I_001E","B25003I_002E","B25003I_003E"
"1","06","001","400100",3202,177417,1292,1164,128,983,864,119,44,44,0,0,0,0,210,210,0,0,0,0,9,0,9,46,46,0,956,837,119,35,35,0
"2","06","001","400200",1770,153125,813,531,282,707,471,236,4,0,4,4,4,0,71,36,35,0,0,0,0,0,0,27,20,7,648,423,225,72,61,11
"3","06","001","400300",1208,85313,2439,1136,1303,1788,986,802,280,0,280,0,0,0,254,95,159,8,8,0,36,0,36,73,47,26,1632,951,681,209,35,174
"4","06","001","400400",1584,99539,1798,708,1090,1267,546,721,165,74,91,12,12,0,247,76,171,0,0,0,18,0,18,89,0,89,1183,486,697,138,72,66
"5","06","001","400500",1438,83650,1643,609,1034,1018,359,659,449,232,217,0,0,0,61,8,53,0,0,0,48,0,48,67,10,57,959,352,607,88,7,81
"6","06","001","400600",1221,61597,713,319,394,375,186,189,218,81,137,5,0,5,43,24,19,0,0,0,9,4,5,63,24,39,362,183,179,45,9,36
"7","06","001","400700",1197,46424,1787,644,1143,728,308,420,830,271,559,30,6,24,34,27,7,0,0,0,82,0,82,83,32,51,604,290,314,228,18,210
"8","06","001","400800",1329,61111,1580,572,1008,769,342,427,522,126,396,7,0,7,198,57,141,0,0,0,43,22,21,41,25,16,730,342,388,100,31,69
"9","06","001","400900",1457,55691,1025,305,720,430,185,245,360,78,282,4,4,0,95,16,79,0,0,0,84,22,62,52,0,52,364,179,185,113,20,93
"10","06","001","401000",1191,51073,2619,793,1826,938,321,617,1038,292,746,9,9,0,96,30,66,52,38,14,243,45,198,243,58,185,857,314,543,447,83,364
"11","06","001","401100",1324,71205,2032,532,1500,1475,298,1177,344,181,163,0,0,0,122,53,69,0,0,0,29,0,29,62,0,62,1347,260,1087,189,38,151
"12","06","001","401200",1371,83208,1231,437,794,832,304,528,217,65,152,10,0,10,66,49,17,0,0,0,42,0,42,64,19,45,794,288,506,108,25,83
"13","06","001","401300",972,37123,1705,229,1476,585,115,470,597,46,551,10,0,10,318,34,284,0,0,0,48,16,32,147,18,129,517,96,421,180,35,145
"14","06","001","401400",982,25985,1544,227,1317,417,67,350,735,116,619,34,6,28,119,29,90,27,0,27,145,0,145,67,9,58,267,57,210,318,19,299
"15","06","001","401500",1029,48903,1023,368,655,351,169,182,509,141,368,4,2,2,66,36,30,10,0,10,24,0,24,59,20,39,301,150,151,90,21,69
"16","06","001","401600",1183,36544,781,170,611,333,64,269,238,37,201,11,0,11,92,53,39,11,0,11,39,0,39,57,16,41,282,64,218,115,4,111
"17","06","001","401700",1229,66308,1231,605,626,577,334,243,312,119,193,0,0,0,166,79,87,0,0,0,141,44,97,35,29,6,456,261,195,270,117,153
"18","06","001","401800",944,28185,731,168,563,269,82,187,348,68,280,0,0,0,24,6,18,0,0,0,34,6,28,56,6,50,231,80,151,85,14,71
"19","06","001","402200",956,45400,838,299,539,306,130,176,326,114,212,3,3,0,111,27,84,11,0,11,39,15,24,42,10,32,241,118,123,121,27,94
"20","06","001","402400",840,33724,1151,193,958,245,41,204,649,139,510,15,0,15,202,9,193,0,0,0,36,0,36,4,4,0,190,41,149,109,11,98
"21","06","001","402500",746,23693,704,102,602,92,25,67,500,73,427,0,0,0,43,0,43,0,0,0,30,0,30,39,4,35,60,4,56,91,25,66
"22","06","001","402600",801,22955,654,101,553,136,39,97,207,20,187,2,0,2,297,42,255,0,0,0,4,0,4,8,0,8,102,39,63,38,0,38
"23","06","001","402700",1072,44792,680,81,599,183,32,151,347,30,317,8,0,8,44,5,39,0,0,0,44,0,44,54,14,40,133,20,113,137,12,125
"24","06","001","402800",771,17363,2295,130,2165,561,51,510,1029,40,989,36,0,36,501,26,475,0,0,0,27,0,27,141,13,128,484,51,433,198,7,191
"25","06","001","402900",886,28854,853,5,848,257,0,257,216,0,216,6,0,6,288,5,283,0,0,0,18,0,18,68,0,68,227,0,227,59,0,59
"26","06","001","403000",631,19490,1611,350,1261,122,20,102,69,0,69,11,11,0,1340,303,1037,34,0,34,8,0,8,27,16,11,122,20,102,0,0,0
"27","06","001","403100",909,51184,712,196,516,225,64,161,89,17,72,9,0,9,378,115,263,0,0,0,7,0,7,4,0,4,225,64,161,7,0,7
"28","06","001","403300",1414,52246,2158,486,1672,717,199,518,221,75,146,19,0,19,1019,178,841,0,0,0,98,0,98,84,34,50,605,185,420,210,14,196
"29","06","001","403400",1135,51172,2746,276,2470,1281,197,1084,575,3,572,32,7,25,598,56,542,0,0,0,105,0,105,155,13,142,1184,187,997,212,10,202
"30","06","001","403501",1010,37032,2583,328,2255,899,176,723,748,65,683,58,8,50,678,79,599,0,0,0,41,0,41,159,0,159,828,153,675,197,23,174
"31","06","001","403502",1426,67672,1170,267,903,658,141,517,267,32,235,0,0,0,148,68,80,0,0,0,51,8,43,46,18,28,633,141,492,83,8,75
"32","06","001","403600",1317,70600,2530,390,2140,1242,230,1012,753,67,686,19,0,19,239,83,156,0,0,0,27,0,27,250,10,240,1176,193,983,164,37,127
"33","06","001","403701",1306,66086,1683,211,1472,1169,144,1025,232,25,207,0,0,0,176,34,142,0,0,0,41,8,33,65,0,65,1079,118,961,114,34,80
"34","06","001","403702",1621,78266,1123,276,847,768,227,541,106,9,97,0,0,0,134,0,134,29,10,19,39,0,39,47,30,17,714,227,487,110,0,110
"35","06","001","403800",1477,85313,1808,587,1221,1325,408,917,111,38,73,0,0,0,257,125,132,0,0,0,32,0,32,83,16,67,1191,383,808,193,32,161
"36","06","001","403900",1379,73125,2244,772,1472,1545,555,990,336,108,228,0,0,0,284,98,186,0,0,0,51,0,51,28,11,17,1495,555,940,98,16,82
"37","06","001","404000",1323,77065,1650,489,1161,1135,357,778,109,38,71,5,5,0,164,46,118,18,0,18,131,0,131,88,43,45,1068,336,732,240,38,202
"38","06","001","404101",1523,86635,1679,661,1018,1214,457,757,98,67,31,3,3,0,230,61,169,0,0,0,14,0,14,120,73,47,1157,450,707,74,15,59
"39","06","001","404102",1279,77303,1515,254,1261,1128,199,929,79,9,70,12,0,12,181,20,161,19,0,19,25,18,7,71,8,63,1107,199,908,125,18,107
"40","06","001","404200",2263,169519,1285,1002,283,1009,810,199,149,112,37,0,0,0,100,61,39,0,0,0,0,0,0,27,19,8,972,783,189,37,27,10
"41","06","001","404300",1773,193523,1252,1024,228,940,776,164,85,54,31,0,0,0,127,117,10,24,24,0,53,53,0,23,0,23,918,776,142,96,53,43
"42","06","001","404400",2280,150074,2317,1979,338,1753,1489,264,110,88,22,0,0,0,410,377,33,0,0,0,0,0,0,44,25,19,1656,1423,233,112,81,31
"43","06","001","404501",1804,181484,679,585,94,527,463,64,28,19,9,0,0,0,95,79,16,0,0,0,7,7,0,22,17,5,489,439,50,45,31,14
"44","06","001","404502",2262,133068,2339,2057,282,1749,1605,144,123,123,0,0,0,0,376,262,114,0,0,0,0,0,0,91,67,24,1640,1496,144,109,109,0
"45","06","001","404600",2750,163322,1761,1621,140,1416,1320,96,97,97,0,8,8,0,202,158,44,19,19,0,0,0,0,19,19,0,1363,1276,87,61,52,9
"46","06","001","404700",2409,159107,795,721,74,644,595,49,64,64,0,0,0,0,78,53,25,0,0,0,0,0,0,9,9,0,618,575,43,30,24,6
"47","06","001","404800",1105,61875,1243,600,643,652,437,215,241,39,202,14,3,11,207,97,110,17,17,0,7,7,0,105,0,105,622,430,192,42,10,32
"48","06","001","404900",1112,84375,1945,1196,749,1150,750,400,287,132,155,5,5,0,292,201,91,28,19,9,73,43,30,110,46,64,1094,733,361,194,91,103
"49","06","001","405000",1522,122237,1476,923,553,1021,681,340,183,111,72,4,0,4,202,83,119,0,0,0,24,24,0,42,24,18,978,658,320,106,47,59
"50","06","001","405100",1428,182153,1565,1415,150,1157,1016,141,222,222,0,0,0,0,127,118,9,0,0,0,20,20,0,39,39,0,1126,985,141,59,59,0
"51","06","001","405200",1368,75417,2391,624,1767,1099,268,831,468,33,435,45,11,34,533,255,278,8,0,8,95,0,95,143,57,86,944,236,708,320,41,279
"52","06","001","405301",1278,60928,1517,168,1349,830,66,764,387,6,381,5,0,5,185,63,122,7,7,0,22,0,22,81,26,55,769,66,703,98,0,98
