"","GEOID","STATE","COUNTY_FIPS","TRACT","TOT_POP_MIN","TOT_POP_SEN","TOT_POP_POV","TOT_POP_CIV_NI","TOT_HH","TOT_FAM_CHILD","TOT_POP_OVER5","TOT_RENT_OCC_HOUS","POP_MINORITY","POP_OVER75","POP_SPFAM","POP_LEP","POP_BELOW200","POP_DISABILITY","POP_HUS_RENT50","POP_ZVHHS","PCT_OVER75","PCT_MINORITY","PCT_SPFAM","PCT_LEP","PCT_BELOW200","PCT_DISAB","PCT_ZVHHS","PCT_HUS_RENT50","OVER75_10","MINORITY_70","SPFAM_20","DISAB_25","LEP_20","BELOW200_30","ZVHH_10","HUS_RENT50_15","Count_DisadFact","COC_FLAG"
"1","06001400100","06","001","400100",3018,3018,3011,3018,1292,226,2814,128,83,299,245,178,267,325,113,18,0.0990722332670643,0.0275016567263088,1.08407079646018,0.0632551528073916,0.0886748588508801,0.107687210072896,0.0139318885448916,0.8828125,0,0,1,0,0,0,0,1,2,0
"2","06001400200","06","001","400200",1960,1960,1952,1960,813,177,1862,282,211,122,185,61,213,109,276,46,0.0622448979591837,0.10765306122449,1.04519774011299,0.0327604726100967,0.109118852459016,0.0556122448979592,0.0565805658056581,0.978723404255319,0,0,1,0,0,0,0,1,2,0
"3","06001400300","06","001","400300",5236,5236,5153,5236,2439,477,4868,1303,386,262,546,424,769,469,1113,354,0.0500381970970206,0.073720397249809,1.14465408805031,0.0870994248151191,0.149233456239084,0.089572192513369,0.145141451414514,0.854182655410591,0,0,1,0,0,0,1,1,3,0
"4","06001400400","06","001","400400",4171,4171,4158,4165,1798,437,3897,1090,266,185,427,136,792,488,911,133,0.0443538719731479,0.0637736753776073,0.977116704805492,0.0348986399794714,0.19047619047619,0.117166866746699,0.0739710789766407,0.835779816513761,0,0,1,0,0,0,0,1,2,0
"5","06001400500","06","001","400500",3748,3748,3733,3748,1643,288,3472,1034,486,107,306,172,778,329,856,193,0.0285485592315902,0.129669156883671,1.0625,0.0495391705069124,0.208411465309403,0.0877801494130203,0.117468046256847,0.827852998065764,0,0,1,0,0,0,1,1,3,0
"6","06001400600","06","001","400600",1661,1661,1656,1661,713,156,1559,394,158,80,243,43,443,185,261,162,0.0481637567730283,0.0951234196267309,1.55769230769231,0.0275817831943554,0.267512077294686,0.111378687537628,0.227208976157083,0.66243654822335,0,0,1,0,0,0,1,1,3,0
"7","06001400700","06","001","400700",4552,4552,4552,4552,1787,388,4354,1143,752,281,535,467,1948,662,795,459,0.0617311072056239,0.165202108963093,1.37886597938144,0.107257694074414,0.427943760984183,0.145430579964851,0.256855064353665,0.695538057742782,0,0,1,0,0,1,1,1,4,1
"8","06001400800","06","001","400800",3506,3506,3457,3500,1580,239,3332,1008,421,132,219,339,1271,454,752,171,0.0376497432972048,0.120079863091843,0.916317991631799,0.101740696278511,0.367659820653746,0.129714285714286,0.108227848101266,0.746031746031746,0,0,1,0,0,1,1,1,4,1
"9","06001400900","06","001","400900",2262,2262,2228,2262,1025,213,2150,720,264,67,259,182,688,307,482,103,0.0296198054818744,0.116710875331565,1.21596244131455,0.0846511627906977,0.308797127468582,0.135720601237843,0.100487804878049,0.669444444444444,0,0,1,0,0,1,1,1,4,1
"10","06001401000","06","001","401000",6193,6193,6184,6184,2619,538,5991,1826,1380,213,704,453,2575,1064,1101,659,0.0343936702728887,0.222832229937026,1.30855018587361,0.0756134201301953,0.416397153945666,0.172056921086675,0.251622756777396,0.602957283680175,0,0,1,0,0,1,1,1,4,1
