geoid,state,county_fip,tract,tot_pop,tot_pop_po,tot_pop_ci,tot_hh,pop_zvhhs,tot_fam,tot_pop_ov,pop_hus_re,pop_minori,pop_over75,pop_spfam,pop_lep,pop_below2,pop_disabi,pct_minori,pct_over75,pct_spfam,pct_lep,pct_below2,pct_disab,pct_zvhhs,pct_hus_re,over75_1_2,minori_1_2,spfam_1_2,disab_1_2,lep_1_2,below2_1_2,zvhh_1_2,hus_re_1_2,coc_2035,coc_2040,coc_2050,c2040_2050,coc_class
06055200202,06,055,200202,2772,2580,2619,1108,150,565,2577,178,1384,135,168,336,873,392,0.49927849927849927,0.048701298701298704,0.2973451327433628,0.13038416763678695,0.3383720930232558,0.14967544864452081,0.13537906137184116,0.16064981949458484,0,0,1,1,1,1,0,1,1,1,1,0,Highest
06055200400,06,055,200400,4127,4125,4127,1550,9,981,3909,32,1253,197,53,341,591,382,0.3036103707293433,0.04773443179064696,0.05402650356778797,0.087234586850857,0.14327272727272727,0.09256118245699055,0.005806451612903226,0.02064516129032258,0,0,0,0,0,0,0,0,0,0,0,0,NA
06055200900,06,055,200900,722,119,119,37,33,11,722,22,326,23,4,6,103,80,0.4515235457063712,0.03185595567867036,0.36363636363636365,0.008310249307479225,0.865546218487395,0.6722689075630253,0.8918918918918919,0.5945945945945946,0,0,1,1,0,1,1,1,1,1,1,0,Highest
06085508101,06,085,508101,6918,6845,6893,2301,49,1841,6418,104,5355,294,61,277,460,263,0.7740676496097137,0.042497831743278404,0.033134166214014125,0.043159862885634157,0.06720233747260775,0.038154649644566954,0.021295089091699262,0.04519774011299435,0,1,0,0,0,0,0,0,0,0,0,0,NA
06085509202,06,085,509202,4863,4863,4863,1863,186,1095,4575,125,2912,355,93,399,776,515,0.5988073205840017,0.07300020563438207,0.08493150684931507,0.08721311475409836,0.15957228048529715,0.10590170676537117,0.0998389694041868,0.06709608158883522,0,0,0,0,0,0,0,0,0,0,0,0,NA
06085509304,06,085,509304,3517,3517,3517,1407,60,751,3389,195,2188,101,109,269,651,144,0.6221211259596247,0.0287176570941143,0.14513981358189082,0.07937444673945117,0.18510093829968724,0.04094398635200455,0.042643923240938165,0.13859275053304904,0,0,0,0,0,0,0,0,0,0,0,0,NA
06085509401,06,085,509401,3841,3841,3841,1714,177,911,3551,211,2572,80,83,282,455,252,0.6696172871648008,0.020827909398594115,0.09110867178924259,0.07941424950718108,0.11845873470450403,0.06560791460557147,0.10326721120186698,0.12310385064177364,0,0,0,0,0,0,0,0,0,0,0,0,NA
06085509801,06,085,509801,5535,5535,5535,2236,156,1429,5202,285,2564,227,78,204,549,320,0.4632339656729901,0.04101174345076784,0.05458362491252624,0.0392156862745098,0.0991869918699187,0.057813911472448055,0.06976744186046512,0.1274597495527728,0,0,0,0,0,0,0,0,0,0,0,0,NA
06085512307,06,085,512307,7005,6997,6997,2473,28,1913,6405,111,2882,620,31,82,931,724,0.4114204139900071,0.08850820842255532,0.01620491374803973,0.012802498048399688,0.1330570244390453,0.10347291696441333,0.011322280630812778,0.044884755357864944,1,0,0,0,0,0,0,0,0,0,0,0,NA
06085503204,06,085,503204,8414,8368,8405,2211,157,1458,7874,172,7890,341,309,1668,2650,989,0.9377228428809128,0.040527691942001426,0.21193415637860083,0.21183642367284736,0.3166826003824092,0.11766805472932779,0.0710085933966531,0.0777928539122569,0,1,1,0,1,1,0,0,1,1,1,0,Highest
06085503210,06,085,503210,4400,4357,4400,994,59,892,4099,147,4044,218,85,1093,794,433,0.9190909090909091,0.049545454545454545,0.0952914798206278,0.2666504025372042,0.18223548313059446,0.0984090909090909,0.059356136820925554,0.14788732394366197,0,1,0,0,1,0,0,1,1,1,0,-1,NA
