,county_name,county_fips,geoid,tot_fam_acs18,tot_fam_moe_acs18,tot_fam_acs13,tot_fam_moe_acs13,pop_spfam_acs18,pop_spfam_acs13,male_hh_child_acs18,male_hh_child_moe_acs18,male_hh_child_acs13,male_hh_child_moe_acs13,female_hh_child_acs18,female_hh_child_moe_acs18,female_hh_child_acs13,female_hh_child_moe_acs13,pct_spfam_acs18,pct_spfam_acs13,moe_over_est_acs18,moe_over_est_acs13
0,Napa,055,06055200202,565,113,512,104,168,123,49,42,15,17,119,83,108,53,0.2973451327433628,0.240234375,0,1
1,Napa,055,06055200400,981,114,940,117,53,108,16,19,35,28,37,25,73,37,0.05402650356778797,0.1148936170212766,1,0
2,Napa,055,06055200900,11,14,0,12,4,0,0,12,0,12,4,6,0,12,0.36363636363636365,,1,1
3,Santa Clara,085,06085508101,1841,123,1800,156,61,44,15,24,8,16,46,43,36,37,0.033134166214014125,0.024444444444444446,1,1
4,Santa Clara,085,06085509202,1095,111,1054,111,93,76,19,21,17,25,74,47,59,39,0.08493150684931507,0.07210626185958255,1,1
5,Santa Clara,085,06085509304,751,109,552,103,109,72,23,26,0,12,86,54,72,48,0.14513981358189082,0.13043478260869565,1,1
6,Santa Clara,085,06085509401,911,121,659,106,83,89,46,47,0,12,37,39,89,48,0.09110867178924259,0.13505311077389984,1,1
7,Santa Clara,085,06085509801,1429,131,1465,140,78,189,9,17,60,91,69,51,129,86,0.05458362491252624,0.12901023890784982,1,1
8,Santa Clara,085,06085512307,1913,122,1781,148,31,267,0,17,102,98,31,38,165,91,0.01620491374803973,0.14991577765300393,1,0
9,Santa Clara,085,06085503204,1458,189,1731,137,309,381,27,35,140,102,282,125,241,115,0.21193415637860083,0.22010398613518198,1,0
10,Santa Clara,085,06085503210,892,53,727,76,85,133,31,33,21,17,54,41,112,53,0.0952914798206278,0.1829436038514443,1,0
11,Santa Clara,085,06085503401,839,66,792,73,193,227,63,41,105,51,130,61,122,51,0.2300357568533969,0.2866161616161616,0,0
