GEOID,STATE,COUNTY_FIPS,TRACT,TOT_POP_MIN,TOT_POP_SEN,TOT_POP_POV,TOT_POP_CIV_NI,TOT_HH,TOT_FAM,TOT_POP_OVER5,POP_MINORITY,POP_OVER75,POP_SPFAM,POP_LEP,POP_BELOW200,POP_DISABILITY,POP_HUS_RENT50,POP_ZVHHS,PCT_OVER75,PCT_MINORITY,PCT_SPFAM,PCT_LEP,PCT_BELOW200,PCT_DISAB,PCT_ZVHHS,PCT_HUS_RENT50,OVER75_HALFSD,MINORITY_HALFSD,SPFAM_HALFSD,DISAB_HALFSD,LEP_HALFSD,BELOW200_HALFSD,ZVHH_HALFSD,HUS_RENT50_HALFSD,Count_DisadFact_HALFSD,COC_FLAG_2018,COC_CLASS
6001400100,6,1,400100,3018,3018,3011,3018,1292,877,2814,873,299,19,73,267,325,15,18,0.099072233,0.289264414,0.021664766,0.02594172,0.088674859,0.10768721,0.013931889,0.011609907,0,0,0,0,0,0,0,0,0,0,NA
6001400200,6,1,400200,1960,1960,1952,1960,813,453,1862,534,122,30,11,213,109,6,46,0.062244898,0.27244898,0.066225166,0.005907626,0.109118852,0.055612245,0.056580566,0.007380074,0,0,0,0,0,0,0,0,0,0,NA
6001400300,6,1,400300,5236,5236,5153,5236,2439,1063,4868,1890,262,95,90,769,469,190,354,0.050038197,0.360962567,0.089369708,0.018488085,0.149233456,0.089572193,0.145141451,0.077900779,0,0,0,0,0,0,1,0,1,0,NA
6001400400,6,1,400400,4171,4171,4158,4165,1798,873,3897,1413,185,124,97,792,488,179,133,0.044353872,0.338767682,0.142038946,0.024890942,0.19047619,0.117166867,0.073971079,0.099555061,0,0,0,0,0,0,0,0,0,0,NA
6001400500,6,1,400500,3748,3748,3733,3748,1643,656,3472,1776,107,52,61,778,329,178,193,0.028548559,0.473852721,0.079268293,0.017569124,0.208411465,0.087780149,0.117468046,0.108338405,0,0,0,0,0,0,1,0,1,0,NA
6001400600,6,1,400600,1661,1661,1656,1661,713,362,1559,1025,80,95,20,443,185,133,162,0.048163757,0.617098134,0.262430939,0.012828736,0.267512077,0.111378688,0.227208976,0.186535764,0,0,1,0,0,0,1,1,3,0,NA
6001400700,6,1,400700,4552,4552,4552,4552,1787,879,4354,2852,281,157,201,1948,662,348,459,0.061731107,0.626537786,0.178612059,0.046164446,0.427943761,0.14543058,0.256855064,0.194739787,0,0,0,1,0,1,1,1,3,1,Higher
6001400800,6,1,400800,3506,3506,3457,3500,1580,650,3332,2116,132,108,171,1271,454,256,171,0.037649743,0.603536794,0.166153846,0.051320528,0.367659821,0.129714286,0.108227848,0.162025316,0,0,0,1,0,1,1,1,3,1,High
6001400900,6,1,400900,2262,2262,2228,2262,1025,486,2150,1363,67,94,100,688,307,238,103,0.029619805,0.602564103,0.193415638,0.046511628,0.308797127,0.135720601,0.100487805,0.232195122,0,0,0,1,0,1,1,1,3,1,High
6001401000,6,1,401000,6193,6193,6184,6184,2619,1223,5991,4279,213,376,236,2575,1064,725,659,0.03439367,0.690941385,0.30744072,0.039392422,0.416397154,0.172056921,0.251622757,0.276823215,0,0,1,1,0,1,1,1,4,1,High
6001401100,6,1,401100,4138,4138,4138,4138,2032,756,4057,2008,85,102,132,1272,310,283,396,0.020541324,0.485258579,0.134920635,0.032536357,0.307394877,0.074915418,0.19488189,0.139271654,0,0,0,0,0,1,1,0,1,0,NA
6001401200,6,1,401200,2614,2614,2593,2584,1231,519,2469,1128,71,99,43,526,237,140,163,0.027161438,0.431522571,0.190751445,0.017415958,0.202853837,0.091718266,0.132412673,0.113728676,0,0,0,0,0,0,1,0,1,0,NA
6001401300,6,1,401300,3976,3976,3668,3683,1705,473,3899,2689,292,80,371,1933,669,261,634,0.073440644,0.676307847,0.169133192,0.095152603,0.526990185,0.181645398,0.371847507,0.153079179,0,0,0,1,0,1,1,1,3,1,High
6001401400,6,1,401400,4108,4108,4057,4108,1544,647,3952,3417,204,200,376,2750,850,521,572,0.049659202,0.831791626,0.309119011,0.0951417,0.677840769,0.20691334,0.370466321,0.337435233,0,1,1,1,0,1,1,1,4,1,Highest
6001401500,6,1,401500,2605,2605,2605,2605,1023,418,2500,1648,91,116,123,1232,581,205,329,0.034932821,0.632629559,0.277511962,0.0492,0.47293666,0.22303263,0.321603128,0.200391007,0,0,1,1,0,1,1,1,4,1,High
6001401600,6,1,401600,2173,2173,2173,2173,781,359,2010,1619,37,138,283,1129,442,260,231,0.017027151,0.745052922,0.384401114,0.14079602,0.519558214,0.20340543,0.295774648,0.33290653,0,1,1,1,1,1,1,1,5,1,Highest
6001401700,6,1,401700,2679,2679,2664,2663,1231,483,2439,1828,87,127,83,964,344,196,112,0.032474804,0.682344158,0.262939959,0.03403034,0.361861862,0.129177619,0.090982941,0.159220146,0,0,1,1,0,1,0,1,3,1,High
6001401800,6,1,401800,1866,1866,1866,1866,731,318,1698,1356,83,170,127,1120,280,210,250,0.044480171,0.726688103,0.534591195,0.074793875,0.600214362,0.150053591,0.341997264,0.287277702,0,1,1,1,0,1,1,1,4,1,Highest
6001402200,6,1,402200,2406,2406,2396,2406,838,494,2275,1754,124,156,314,1425,374,208,180,0.051537822,0.729010806,0.315789474,0.138021978,0.594741235,0.155444722,0.214797136,0.248210024,0,1,1,1,1,1,1,1,5,1,High
6001402400,6,1,402400,2773,2773,2754,2754,1151,588,2589,2168,168,204,295,1290,507,208,400,0.060584205,0.781824739,0.346938776,0.113943608,0.468409586,0.184095861,0.347523892,0.180712424,0,1,1,1,0,1,1,1,4,1,High
6001402500,6,1,402500,1833,1833,1833,1833,704,445,1597,1678,41,244,85,1195,392,156,283,0.022367703,0.915439171,0.548314607,0.053224796,0.651936716,0.213857065,0.401988636,0.221590909,0,1,1,1,0,1,1,1,4,1,Highest
6001402600,6,1,402600,1272,1272,1272,1272,654,259,1197,1053,134,30,386,833,266,103,307,0.105345912,0.827830189,0.115830116,0.322472849,0.654874214,0.209119497,0.46941896,0.157492355,1,1,0,1,1,1,1,1,5,1,Highest
6001402700,6,1,402700,1734,1734,1724,1734,680,276,1691,1257,65,58,158,823,283,161,287,0.037485582,0.724913495,0.210144928,0.093435837,0.47737819,0.163206459,0.422058824,0.236764706,0,1,1,1,0,1,1,1,4,1,High
6001402800,6,1,402800,3798,3798,3798,3773,2295,445,3711,2886,254,73,512,2200,989,578,1247,0.066877304,0.759873618,0.164044944,0.137968203,0.579252238,0.262125629,0.54335512,0.251851852,0,1,0,1,1,1,1,1,4,1,Highest
6001402900,6,1,402900,1392,1392,1298,1392,853,157,1357,1066,133,40,294,630,303,157,548,0.095545977,0.765804598,0.25477707,0.216654385,0.485362096,0.217672414,0.642438453,0.184056272,0,1,1,1,1,1,1,1,5,1,Highest
6001403000,6,1,403000,3167,3167,3167,3167,1611,836,3077,2957,742,61,1566,1985,792,390,780,0.234291127,0.93369119,0.072966507,0.508937277,0.626776129,0.250078939,0.484171322,0.242085661,1,1,0,1,1,1,1,1,5,1,Highest
6001403100,6,1,403100,1721,1721,1416,1427,712,343,1680,1285,104,16,337,635,265,122,207,0.060429983,0.746658919,0.04664723,0.200595238,0.448446328,0.185704275,0.290730337,0.171348315,0,1,0,1,1,1,1,1,4,1,High
6001403300,6,1,403300,4159,4159,4159,4142,2158,871,4054,3310,313,85,1323,1859,588,546,594,0.075258476,0.79586439,0.097588978,0.326344351,0.446982448,0.141960406,0.275254866,0.253012048,0,1,0,1,1,1,1,1,4,1,High
6001403400,6,1,403400,4360,4360,4337,4337,2746,755,4213,2726,546,121,458,1414,827,515,1071,0.125229358,0.625229358,0.160264901,0.108711132,0.326031819,0.190684805,0.39002185,0.187545521,1,0,0,1,0,1,1,1,4,1,High
6001403501,6,1,403501,4435,4435,4359,4435,2583,789,4276,2967,394,74,582,1999,847,491,858,0.088838782,0.668996618,0.093789607,0.136108513,0.45859142,0.190980834,0.332171893,0.190089044,0,0,0,1,1,1,1,1,4,1,High
6001403502,6,1,403502,2081,2081,2081,2081,1170,400,2016,1006,40,54,62,508,216,193,120,0.019221528,0.483421432,0.135,0.030753968,0.244113407,0.103796252,0.102564103,0.164957265,0,0,0,0,0,0,1,1,2,0,NA
6001403600,6,1,403600,4751,4751,4641,4641,2530,777,4455,2953,148,80,219,1373,315,313,251,0.031151337,0.621553357,0.102960103,0.049158249,0.295841413,0.067873303,0.099209486,0.123715415,0,0,0,0,0,0,0,0,0,0,NA
6001403701,6,1,403701,2755,2755,2716,2716,1683,376,2663,1231,357,46,42,673,276,241,416,0.129582577,0.446823956,0.122340426,0.015771686,0.247790869,0.101620029,0.247177659,0.143196673,1,0,0,0,0,0,1,0,2,0,NA
6001403702,6,1,403702,2027,2027,2027,2027,1123,413,1998,843,50,40,136,461,188,182,137,0.024666996,0.415885545,0.0968523,0.068068068,0.227429699,0.092747903,0.121994657,0.162065895,0,0,0,0,0,0,1,1,2,0,NA
6001403800,6,1,403800,3323,3323,3323,3323,1808,590,3167,1183,117,8,69,374,222,204,76,0.035209148,0.356003611,0.013559322,0.02178718,0.112548902,0.066807102,0.042035398,0.112831858,0,0,0,0,0,0,0,0,0,0,NA
6001403900,6,1,403900,3938,3938,3938,3938,2244,552,3678,1785,334,82,161,907,550,278,166,0.084814627,0.453275775,0.148550725,0.04377379,0.230319959,0.139664804,0.073975045,0.123885918,0,0,0,1,0,0,0,0,1,0,NA
6001404000,6,1,404000,2932,2932,2932,2932,1650,543,2804,1190,56,66,19,534,190,133,131,0.019099591,0.405866303,0.121546961,0.006776034,0.18212824,0.064802183,0.079393939,0.080606061,0,0,0,0,0,0,0,0,0,0,NA
