Field Name,Alias,Source,Description,Domain,Url
stop_id,Stop ID,GTFS - stops.txt,"Identifies a stop, station, or station entrance.",,https://github.com/google/transit/blob/master/gtfs/spec/en/reference.md#stopstxt
stop_code,Stop Code,GTFS - stops.txt,Short text or a number that identifies the location for riders. These codes are often used in phone-based transit information systems or printed on signage to make it easier for riders to get information for a particular location. The stop_code can be the same as stop_id if it is public facing. This field should be left empty for locations without a code presented to riders.,,https://github.com/google/transit/blob/master/gtfs/spec/en/reference.md#stopstxt
stop_name,Stop Name,GTFS - stops.txt,Name of the location. Use a name that people will understand in the local and tourist vernacular.,,https://github.com/google/transit/blob/master/gtfs/spec/en/reference.md#stopstxt
stop_desc,Stop Description,GTFS - stops.txt,"Description of the location that provides useful, quality information.",,https://github.com/google/transit/blob/master/gtfs/spec/en/reference.md#stopstxt
loc_type,Location Type,GTFS - stops.txt,Type of the location.,0 - Stop or Platform; 1 - Station; 2 - Entrance/Exit; 3 - Generic Node; 4 - Boarding Area,https://github.com/google/transit/blob/master/gtfs/spec/en/reference.md#stopstxt
hdwy_30min,Headway 30 Minute,Processing Script,Flag field for stops served by 1 or more transit routes with headways of 30 minutes or less during BOTH the AM (6:00 - 10:00 AM) and PM (3:00 - 7:00 PM) peak commute periods.,0; 1,
hdwy_15min,Headway 15 Minute,Processing Script,Flag field for stops served by 1 or more transit routes with headways of 15 minutes or less during BOTH the AM (6:00 - 10:00 AM) and PM (3:00 - 7:00 PM) peak commute periods.,0; 1,
major_stop,Major Transit Stop,Processing Script,"To qualify as a 'Major Transit Stop', as defined by As defined by California Public Resource Code Section 21064.3, a stop must be a rail or ferry stop, or the stop must be served by 2 or more transit routes with headways of 15 minutes or less during BOTH the AM (6:00 - 10:00 AM) and PM (3:00 - 7:00 PM) peak commute periods. ",0; 1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=21064.3.&lawCode=PRC
hdwy_class,Headway Class,Processing Script,"To fall into a given headway class, stops had to meet the headway threshold for both AM (6:00 - 10:00 AM) and PM (3:00 - 7:00 PM) Peak Periods. Not available is used for stops served by routes where headway information may be unavailable for both am and pm commute periods, or the stop is the location of a transit station.",15 min or less; 16 to 30 min; 31 min or more; Not Available,
agency_id,Transit Agency ID,GTFS- agency.txt,Indicates the agency or operator of a transit system. ,'BA'; 'SF'; 'WC'; 'SM'; 'GG'; 'AC'; 'DE'; 'SC'; 'CT'; 'SA'; 'FS';'SO'; 'UC'; 'SR'; '3D'; 'ST'; 'CC'; 'MA'; 'EM'; 'PE'; 'WH'; 'VN';'AM'; 'CE'; 'CM'; 'GF'; 'RV'; 'SB'; 'SI'; 'SS'; 'TD'; 'VC'; 'MS',https://github.com/google/transit/blob/master/gtfs/spec/en/reference.md#agencytxt
agency_nm,Transit Agency Name,GTFS- agency.txt,Name of the agency or operator of a transit system. ,,https://github.com/google/transit/blob/master/gtfs/spec/en/reference.md#agencytxt
route_type,Route Type,GTFS- routes.txt,Indicates the type of transportation used on a route. Route type may be null if location is a transit station or transit center.,"0 - Tram, Streetcar, Light rail; 1 - Subway, Metro; 2 - Rail; 3 - Bus; 4 - Ferry; 5 - Cable tram; 6 - Aerial lift; 7 - Funicular; 11 - Trolleybus; 12 - Monorail; ",https://github.com/google/transit/blob/master/gtfs/spec/en/reference.md#routestxt
route_ty_t,Route Type Text,GTFS- routes.txt,Text type of transportation used on a route. Route type may be null if location is a transit station or transit center.,,https://github.com/google/transit/blob/master/gtfs/spec/en/reference.md#routestxt
