Bay_Area_Jurisdiction,Single_Family_Parcels,Total_Residential_Units,Single_Family_Parcels_2_Units,Single_Family_Parcels_3_Units,Single_Family_Parcels_4_Units
Alameda,299,477,80,25,16
Albany,155,392,2,NULL,3
Belmont,524,1577,98,19,3
Benicia,51,77,2,NULL,NULL
Berkeley,671,8589,33,14,25
Burlingame,1447,4242,130,60,38
Campbell,112,744,10,11,3
Cloverdale,10,14,2,1,NULL
Colma,66,226,18,7,2
Concord,42,72,2,NULL,1
Cotati,30,128,5,NULL,2
Cupertino,116,125,9,1,NULL
Daly City,1241,1939,236,61,41
Danville,23,84,1,NULL,2
Dixon,90,176,14,7,4
Dublin,27,67,1,3,NULL
East Palo Alto,30,86,2,1,NULL
El Cerrito,265,1117,2,3,8
Emeryville,13,58,1,NULL,NULL
Fairfield,174,596,22,4,11
Fremont,895,5064,147,26,14
Gilroy,408,2420,39,12,7
Hayward,131,480,16,6,3
Hillsborough,5,55,3,1,NULL
Lafayette,136,618,7,9,14
Livermore,3,0,NULL,NULL,NULL
Los Altos,8,8,NULL,NULL,NULL
Martinez,194,425,30,10,4
Menlo Park,9,27,2,1,NULL
Millbrae,77,238,9,8,12
Morgan Hill,61,154,8,4,4
Mountain View,494,2049,88,43,23
Napa,50,77,9,2,3
Oakland,15933,41847,3227,935,898
Palo Alto,13,14,1,1,NULL
Petaluma,116,259,32,8,3
Pinole,15,43,1,NULL,NULL
Pittsburg,368,456,30,5,2
Redwood City,107,826,1,2,1
Richmond,199,307,13,4,4
San Bruno,967,2070,159,84,71
San Carlos,7,7,NULL,NULL,NULL
San Francisco,630,783,32,3,1
San Jose,5337,28433,885,345,172
San Leandro,819,2931,195,29,27
San Mateo,965,1357,163,35,7
San Pablo,48,495,4,NULL,2
San Rafael,249,500,32,13,7
Santa Clara,134,2465,1,1,2
Santa Rosa,1474,4216,279,66,51
Sebastopol,411,691,67,13,8
South San Francisco,770,2042,64,39,32
Sunnyvale,229,7529,21,13,6
Unincorporated Alameda,753,1708,90,21,14
Unincorporated San Mateo,438,680,27,3,2
Unincorporated Sonoma,57,77,13,2,NULL
Vacaville,24,24,2,NULL,NULL
Vallejo,17,140,NULL,NULL,NULL
Walnut Creek,63,55,NULL,NULL,2
Windsor,118,173,20,2,NULL
