,Unnamed: 0,Worksheet Filter,Measure Display,Number of Records,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,City,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Period Begin,Period Duration,Period End,Price Drops,Price Drops Mom,Price Drops Yoy,Property Type,Region,Region Type,Sold Above List,Sold Above List Mom,Sold Above List Yoy,State,State Code,Table Id,place_name
79030,3350786,Value,,1,0.988564029,-1.4%,-1.6%,Adelanto,24.0,-27.3%,-11.1%,65.0,10.2%,-25.3%,48.0,-15.0,-11.0,111.285710138,-0.010793688,0.066249004,189900.0,0.0,0.026489261,113.110328298,-0.027732497,0.126264338,$187K,6.1%,9.9%,2.7,0.9,-0.5,42.0,13.5%,5.0%,2/1/2017,30,2/28/2017,0.030769231,,0.007780725,All Residential,"Adelanto, CA",place,0.375,-0.049242424000000014,0.078703704,California,CA,58.0,Adelanto
79031,3350787,Value,,1,0.970849192,0.1%,-1.5%,Agoura Hills,27.0,50.0%,80.0%,48.0,-11.1%,-30.4%,39.0,-13.0,2.0,398.39406079800006,0.098767181,0.068852077,1297000.0,0.387165775,0.558894231,342.549371634,-0.095492552,0.03767395,$690K,-15.9%,17.8%,1.8,-1.2,-2.8,26.0,-25.7%,-27.8%,2/1/2017,30,2/28/2017,0.041666667,,0.012681159,All Residential,"Agoura Hills, CA",place,0.185185185,0.12962963,0.051851852,California,CA,77.0,Agoura Hills
79032,3350788,Value,,1,1.092367795,2.0%,4.1%,Alameda,25.0,0.0%,56.3%,43.0,22.9%,22.9%,15.0,-2.0,-4.0,497.40440504199995,-0.012912222,-0.019357771,938450.0,0.255913547,0.180440252,479.400749064,-0.15390279,-0.03530049,$900K,13.6%,10.8%,1.7,0.3,-0.5,42.0,0.0%,-10.6%,2/1/2017,30,2/28/2017,,,,All Residential,"Alameda, CA",place,0.8,0.16,0.2375,California,CA,117.0,Alameda
79033,3350789,Value,,1,1.008885819,1.1%,2.6%,Alhambra,25.0,4.2%,-19.4%,89.0,-7.3%,-1.1%,76.0,49.0,35.0,443.733078645,0.020778681,0.122275513,567500.0,0.031820058,0.025293586,446.927374302,0.180761016,0.1317468,$574K,3.3%,10.7%,3.6,-0.4,0.7,28.0,-24.3%,-26.3%,2/1/2017,30,2/28/2017,0.011235955,,,All Residential,"Alhambra, CA",place,0.44,-0.10166667,0.214193548,California,CA,208.0,Alhambra
79034,3350790,Value,,1,0.99421348,0.5%,1.0%,Aliso Viejo,62.0,3.3%,-20.5%,143.0,7.5%,-18.8%,34.0,-53.0,-14.0,392.156862745,0.022102951000000003,0.07914009,547000.0,0.116326531,0.041904762000000005,374.131944444,0.044648484,0.05965199,$503K,-4.9%,-5.2%,2.3,0.1,0.0,87.0,1.2%,-13.9%,2/1/2017,30,2/28/2017,0.006993007,,0.001311189,All Residential,"Aliso Viejo, CA",place,0.306451613,0.12311828,0.062861869,California,CA,224.0,Aliso Viejo
79035,3350791,Value,,1,0.995209091,-1.0%,-0.4%,Altadena,33.0,6.5%,6.5%,64.0,-15.8%,-12.3%,41.0,1.0,17.0,429.489055417,-0.18206011,-0.028143645,914000.0,0.330422125,0.204216074,494.152046784,0.048950027,0.248695591,$702K,-14.5%,2.3%,1.9,-0.6,-0.5,34.0,6.3%,-38.2%,2/1/2017,30,2/28/2017,,,,All Residential,"Altadena, CA",place,0.424242424,-0.091886608,-0.027370479,California,CA,21169.0,Altadena
79036,3350792,Value,,1,1.003792185,0.2%,-0.5%,American Canyon,10.0,-16.7%,100.0%,21.0,-22.2%,-30.0%,65.0,40.0,22.0,240.950521334,-0.052903817,0.006285204,515000.0,-0.028118513,0.101604278,227.89185463400003,-0.032046942,0.074160748,$535K,3.9%,20.2%,2.1,-0.2,-3.9,7.0,-46.2%,-41.7%,2/1/2017,30,2/28/2017,,,,All Residential,"American Canyon, CA",place,0.5,0.083333333,-0.1,California,CA,419.0,American Canyon
79037,3350793,Value,,1,0.989328938,0.5%,0.1%,Anaheim,166.0,-5.1%,9.9%,420.0,-5.2%,-14.8%,58.0,-5.0,5.0,362.198282491,0.055846436,0.10553332,572450.0,0.06028894200000001,0.111769276,340.706546232,-0.003848848,0.059384417,$510K,1.0%,1.4%,2.5,0.0,-0.8,216.0,-0.9%,-23.1%,2/1/2017,30,2/28/2017,0.007142857,0.004885521,0.001057664,All Residential,"Anaheim, CA",place,0.278787879,0.05021645,-0.025847883,California,CA,517.0,Anaheim
79038,3350794,Value,,1,1.001315617,1.3%,0.1%,Antelope,46.0,4.5%,-6.1%,34.0,-10.5%,-40.4%,28.0,-7.0,1.0,194.08698830400002,-0.035290338,0.079123655,324950.0,0.015786183,0.124394464,191.573712288,0.103255819,0.121930812,$318K,7.5%,15.5%,0.7,-0.2,-0.5,38.0,-2.6%,-28.3%,2/1/2017,30,2/28/2017,,,,All Residential,"Antelope, CA",place,0.47826087,0.296442688,0.15173025699999998,California,CA,31458.0,Antelope
79039,3350795,Value,,1,1.003018072,-0.3%,-0.6%,Antioch,68.0,-26.9%,-12.8%,75.0,-2.6%,-19.4%,16.0,-3.0,-10.0,224.70398277700002,0.085624965,0.150648055,378000.0,-0.08915662699999999,0.05882352900000001,213.117126603,0.010036307,0.057458983,$397K,1.3%,16.4%,1.1,0.3,-0.1,93.0,14.8%,-20.5%,2/1/2017,30,2/28/2017,0.013333333,-0.012640693,0.002580645,All Residential,"Antioch, CA",place,0.544117647,-0.00426945,-0.019984917,California,CA,588.0,Antioch
