EMP_CENTER,MTC_CLASS_TITLE,EMP_TOTAL,COUNTY
1,"Accomodation & Food Services, Recreation & Entertainment",28219,Alameda
1,"Agriculture, Foerestry, Fishing & Hunting",303,Alameda
1,Education & Healthcare,82839,Alameda
1,"Professional Services, Information, Management & Administration",77201,Alameda
1,Public Administration & Other Services,41067,Alameda
1,"Resource Extraction, Manufacturing, Construction & Utilities",54563,Alameda
1,"Wholesale & Retail Trade, Transportation & Warehousing",74073,Alameda
1,"Accomodation & Food Services, Recreation & Entertainment",11372,Contra Costa
1,"Agriculture, Foerestry, Fishing & Hunting",83,Contra Costa
1,Education & Healthcare,13437,Contra Costa
1,"Professional Services, Information, Management & Administration",47842,Contra Costa
1,Public Administration & Other Services,8324,Contra Costa
1,"Resource Extraction, Manufacturing, Construction & Utilities",17319,Contra Costa
1,"Wholesale & Retail Trade, Transportation & Warehousing",23934,Contra Costa
1,"Accomodation & Food Services, Recreation & Entertainment",1658,Marin
1,"Agriculture, Foerestry, Fishing & Hunting",11,Marin
1,Education & Healthcare,2599,Marin
1,"Professional Services, Information, Management & Administration",5219,Marin
1,Public Administration & Other Services,2976,Marin
1,"Resource Extraction, Manufacturing, Construction & Utilities",1720,Marin
1,"Wholesale & Retail Trade, Transportation & Warehousing",4776,Marin
1,"Accomodation & Food Services, Recreation & Entertainment",4,Merced
1,Education & Healthcare,113,Merced
1,"Professional Services, Information, Management & Administration",95,Merced
1,Public Administration & Other Services,1695,Merced
1,"Resource Extraction, Manufacturing, Construction & Utilities",10,Merced
1,"Wholesale & Retail Trade, Transportation & Warehousing",13,Merced
1,"Accomodation & Food Services, Recreation & Entertainment",1550,Monterey
1,"Agriculture, Foerestry, Fishing & Hunting",108,Monterey
1,Education & Healthcare,7020,Monterey
1,"Professional Services, Information, Management & Administration",3864,Monterey
1,Public Administration & Other Services,6200,Monterey
1,"Resource Extraction, Manufacturing, Construction & Utilities",1598,Monterey
1,"Wholesale & Retail Trade, Transportation & Warehousing",3590,Monterey
1,"Accomodation & Food Services, Recreation & Entertainment",911,Napa
1,"Agriculture, Foerestry, Fishing & Hunting",82,Napa
1,Education & Healthcare,482,Napa
